0,1,2,3,4,5,6,7,8,9,label
73.0,72.0,53.0,12.0,135.0,0.0,150.0,51.0,74.0,70.0,false
69.0,92.0,114.0,138.0,0.0,146.0,0.0,107.0,73.0,69.0,false
69.0,55.0,114.0,46.0,95.0,52.0,95.0,53.0,73.0,70.0,false
70.0,68.0,49.0,29.0,124.0,21.0,125.0,34.0,72.0,68.0,false
68.0,67.0,49.0,116.0,32.0,113.0,34.0,113.0,75.0,71.0,false
71.0,80.0,97.0,29.0,114.0,35.0,114.0,34.0,73.0,82.0,false
81.0,79.0,49.0,11.0,145.0,0.0,144.0,27.0,72.0,68.0,false
68.0,67.0,48.0,80.0,73.0,73.0,73.0,73.0,73.0,68.0,false
68.0,90.0,114.0,137.0,0.0,148.0,0.0,139.0,74.0,70.0,false
69.0,67.0,49.0,116.0,32.0,113.0,33.0,99.0,73.0,69.0,false
69.0,67.0,48.0,80.0,73.0,73.0,74.0,73.0,73.0,69.0,false
69.0,68.0,49.0,80.0,75.0,73.0,74.0,73.0,73.0,69.0,false
69.0,67.0,96.0,117.0,21.0,124.0,21.0,125.0,72.0,80.0,false
80.0,78.0,95.0,115.0,21.0,123.0,21.0,124.0,72.0,80.0,false
80.0,53.0,110.0,41.0,94.0,47.0,93.0,51.0,70.0,66.0,false
65.0,65.0,45.0,79.0,69.0,72.0,69.0,71.0,71.0,66.0,false
65.0,88.0,110.0,42.0,94.0,47.0,94.0,73.0,70.0,66.0,false
65.0,65.0,91.0,24.0,108.0,27.0,109.0,76.0,67.0,78.0,false
77.0,74.0,91.0,24.0,109.0,28.0,109.0,33.0,68.0,77.0,false
78.0,78.0,97.0,31.0,116.0,38.0,115.0,35.0,71.0,80.0,false
80.0,73.0,88.0,22.0,103.0,24.0,105.0,24.0,63.0,70.0,false
69.0,44.0,58.0,52.0,79.0,46.0,76.0,46.0,61.0,67.0,false
67.0,41.0,53.0,51.0,73.0,46.0,83.0,70.0,68.0,76.0,false
76.0,72.0,92.0,59.0,72.0,64.0,71.0,67.0,67.0,75.0,false
77.0,77.0,49.0,117.0,33.0,113.0,33.0,68.0,73.0,69.0,false
70.0,96.0,123.0,68.0,101.0,117.0,103.0,137.0,133.0,131.0,false
130.0,139.0,179.0,105.0,136.0,152.0,134.0,157.0,148.0,148.0,true
146.0,155.0,117.0,161.0,145.0,135.0,152.0,140.0,138.0,136.0,true
136.0,164.0,191.0,223.0,64.0,263.0,0.0,141.0,128.0,130.0,true
126.0,128.0,124.0,48.0,185.0,79.0,255.0,0.0,129.0,131.0,true
130.0,160.0,184.0,218.0,0.0,247.0,0.0,124.0,124.0,126.0,true
128.0,121.0,173.0,118.0,105.0,137.0,103.0,124.0,125.0,126.0,true
124.0,152.0,95.0,30.0,200.0,0.0,247.0,130.0,123.0,135.0,true
134.0,142.0,149.0,143.0,77.0,173.0,75.0,155.0,117.0,127.0,true
122.0,130.0,125.0,122.0,75.0,109.0,74.0,90.0,85.0,95.0,false
94.0,103.0,81.0,140.0,30.0,137.0,0.0,167.0,83.0,83.0,false
83.0,95.0,55.0,128.0,48.0,119.0,48.0,89.0,84.0,81.0,false
81.0,103.0,37.0,106.0,65.0,98.0,64.0,85.0,81.0,90.0,false
90.0,88.0,103.0,80.0,74.0,89.0,73.0,88.0,80.0,89.0,false
89.0,87.0,55.0,82.0,86.0,73.0,86.0,76.0,80.0,77.0,false
77.0,99.0,122.0,148.0,0.0,159.0,0.0,135.0,79.0,77.0,false
78.0,74.0,52.0,30.0,136.0,21.0,136.0,30.0,77.0,74.0,false
74.0,59.0,33.0,103.0,57.0,96.0,56.0,95.0,76.0,84.0,false
83.0,70.0,99.0,29.0,114.0,35.0,114.0,35.0,73.0,84.0,false
83.0,70.0,98.0,29.0,114.0,34.0,114.0,38.0,74.0,82.0,false
82.0,80.0,98.0,69.0,73.0,77.0,73.0,78.0,75.0,83.0,false
83.0,56.0,73.0,55.0,101.0,47.0,101.0,52.0,73.0,81.0,false
81.0,54.0,112.0,44.0,95.0,50.0,94.0,51.0,72.0,68.0,false
67.0,66.0,93.0,113.0,21.0,121.0,21.0,122.0,71.0,79.0,false
79.0,66.0,94.0,25.0,111.0,30.0,110.0,42.0,70.0,79.0,false
79.0,90.0,29.0,100.0,48.0,94.0,48.0,93.0,71.0,80.0,false
79.0,76.0,95.0,64.0,73.0,71.0,72.0,72.0,73.0,81.0,false
83.0,83.0,101.0,79.0,74.0,96.0,74.0,103.0,89.0,102.0,false
