0,1,2,3,4,5,6,7,8,9,label
39.0,46.0,67.0,30.0,60.0,32.0,60.0,39.0,46.0,54.0,false
54.0,31.0,16.0,2.0,100.0,0.0,104.0,20.0,55.0,62.0,false
63.0,38.0,21.0,4.0,113.0,0.0,120.0,14.0,59.0,67.0,false
67.0,56.0,33.0,74.0,61.0,72.0,71.0,71.0,67.0,60.0,false
59.0,60.0,44.0,103.0,24.0,108.0,29.0,108.0,67.0,63.0,false
62.0,62.0,45.0,27.0,110.0,20.0,117.0,21.0,69.0,65.0,false
66.0,53.0,114.0,138.0,7.0,133.0,0.0,136.0,69.0,62.0,false
58.0,41.0,22.0,88.0,32.0,87.0,34.0,56.0,62.0,69.0,false
70.0,46.0,26.0,5.0,130.0,0.0,131.0,67.0,68.0,76.0,false
76.0,72.0,89.0,107.0,21.0,112.0,20.0,67.0,56.0,58.0,false
58.0,52.0,64.0,14.0,84.0,15.0,84.0,40.0,48.0,55.0,false
56.0,65.0,56.0,87.0,8.0,87.0,9.0,87.0,49.0,42.0,false
41.0,31.0,40.0,8.0,86.0,0.0,97.0,3.0,49.0,55.0,false
54.0,48.0,36.0,82.0,14.0,81.0,14.0,70.0,47.0,41.0,false
41.0,48.0,25.0,63.0,33.0,61.0,33.0,53.0,48.0,41.0,false
40.0,48.0,25.0,63.0,33.0,61.0,33.0,55.0,47.0,40.0,false
40.0,47.0,35.0,23.0,92.0,0.0,95.0,0.0,48.0,40.0,false
40.0,63.0,16.0,73.0,21.0,72.0,21.0,59.0,47.0,54.0,false
53.0,47.0,59.0,12.0,79.0,13.0,79.0,24.0,46.0,53.0,false
53.0,47.0,59.0,12.0,79.0,13.0,79.0,19.0,46.0,53.0,false
53.0,30.0,76.0,19.0,71.0,21.0,71.0,36.0,46.0,40.0,false
39.0,47.0,67.0,88.0,0.0,94.0,0.0,73.0,47.0,53.0,false
53.0,29.0,76.0,19.0,71.0,20.0,71.0,29.0,46.0,39.0,false
39.0,29.0,76.0,19.0,71.0,20.0,71.0,25.0,45.0,39.0,false
39.0,46.0,35.0,23.0,74.0,20.0,74.0,20.0,47.0,39.0,false
39.0,46.0,24.0,4.0,87.0,4.0,93.0,11.0,47.0,39.0,false
39.0,46.0,35.0,79.0,13.0,78.0,13.0,77.0,45.0,39.0,false
39.0,46.0,35.0,79.0,13.0,78.0,13.0,77.0,45.0,39.0,false
38.0,46.0,67.0,29.0,59.0,31.0,59.0,32.0,46.0,54.0,false
54.0,30.0,78.0,20.0,75.0,23.0,76.0,25.0,52.0,48.0,false
